name,link,letter_name
  Women computer scientists by nationality‎ (57 C),/wiki/Category:Women_computer_scientists_by_nationality, 
 Women bioinformaticians‎ (12 P),/wiki/Category:Women_bioinformaticians,B
 Women computational biologists‎ (21 P),/wiki/Category:Women_computational_biologists,C
 Women roboticists‎ (56 P),/wiki/Category:Women_roboticists,R
  Women computer scientists by nationality‎ (57 C),/wiki/Category:Women_computer_scientists_by_nationality, 
 Women bioinformaticians‎ (12 P),/wiki/Category:Women_bioinformaticians,B
 Women computational biologists‎ (21 P),/wiki/Category:Women_computational_biologists,C
 Women roboticists‎ (56 P),/wiki/Category:Women_roboticists,R
