name,link,letter_name
Thelma Estrin,https://en.wikipedia.org/wiki/Thelma_Estrin,E
Joan Feigenbaum,https://en.wikipedia.org/wiki/Joan_Feigenbaum,F
Danielle Feinberg,https://en.wikipedia.org/wiki/Danielle_Feinberg,F
Anja Feldmann,https://en.wikipedia.org/wiki/Anja_Feldmann,F
Mary Fernández,https://en.wikipedia.org/wiki/Mary_Fern%C3%A1ndez,F
Jeanne Ferrante,https://en.wikipedia.org/wiki/Jeanne_Ferrante,F
Kathleen Fisher,https://en.wikipedia.org/wiki/Kathleen_Fisher,F
Sally Floyd,https://en.wikipedia.org/wiki/Sally_Floyd,F
Stephanie Forrest,https://en.wikipedia.org/wiki/Stephanie_Forrest,F
Alexandra Illmer Forsythe,https://en.wikipedia.org/wiki/Alexandra_Illmer_Forsythe,F
Margaret R. Fox,https://en.wikipedia.org/wiki/Margaret_R._Fox,F
Phyllis Fox,https://en.wikipedia.org/wiki/Phyllis_Fox,F
Jessica Fridrich,https://en.wikipedia.org/wiki/Jessica_Fridrich,F
Ping Fu,https://en.wikipedia.org/wiki/Ping_Fu,F
Susan Gerhart,https://en.wikipedia.org/wiki/Susan_Gerhart,G
Lise Getoor,https://en.wikipedia.org/wiki/Lise_Getoor,G
Yolanda Gil,https://en.wikipedia.org/wiki/Yolanda_Gil,G
Anna C. Gilbert,https://en.wikipedia.org/wiki/Anna_C._Gilbert,G
Carole Goble,https://en.wikipedia.org/wiki/Carole_Goble,G
Jen Golbeck,https://en.wikipedia.org/wiki/Jen_Golbeck,G
Adele Goldberg (computer scientist),https://en.wikipedia.org/wiki/Adele_Goldberg_(computer_scientist),G
Andrea Goldsmith (engineer),https://en.wikipedia.org/wiki/Andrea_Goldsmith_(engineer),G
Adele Goldstine,https://en.wikipedia.org/wiki/Adele_Goldstine,G
Amy Ashurst Gooch,https://en.wikipedia.org/wiki/Amy_Ashurst_Gooch,G
Sarah Gordon,https://en.wikipedia.org/wiki/Sarah_Gordon,G
Susan L. Graham,https://en.wikipedia.org/wiki/Susan_L._Graham,G
Evelyn Boyd Granville,https://en.wikipedia.org/wiki/Evelyn_Boyd_Granville,G
Kristen Grauman,https://en.wikipedia.org/wiki/Kristen_Grauman,G
Diane Greene,https://en.wikipedia.org/wiki/Diane_Greene,G
Sheila Greibach,https://en.wikipedia.org/wiki/Sheila_Greibach,G
Irene Greif,https://en.wikipedia.org/wiki/Irene_Greif,G
Nancy Davis Griffeth,https://en.wikipedia.org/wiki/Nancy_Davis_Griffeth,G
Laura M. Haas,https://en.wikipedia.org/wiki/Laura_M._Haas,H
Lois Haibt,https://en.wikipedia.org/wiki/Lois_Haibt,H
Ashawna Hailey,https://en.wikipedia.org/wiki/Ashawna_Hailey,H
Margaret Hamilton (scientist),https://en.wikipedia.org/wiki/Margaret_Hamilton_(scientist),H
Jessica Hammer,https://en.wikipedia.org/wiki/Jessica_Hammer,H
Vicki L. Hanson,https://en.wikipedia.org/wiki/Vicki_L._Hanson,H
Mor Harchol-Balter,https://en.wikipedia.org/wiki/Mor_Harchol-Balter,H
Mary Jean Harrold,https://en.wikipedia.org/wiki/Mary_Jean_Harrold,H
Tanzima Hashem,https://en.wikipedia.org/wiki/Tanzima_Hashem,H
Mary K. Hawes,https://en.wikipedia.org/wiki/Mary_K._Hawes,H
Marti Hearst,https://en.wikipedia.org/wiki/Marti_Hearst,H
Laurie Hendren,https://en.wikipedia.org/wiki/Laurie_Hendren,H
