geoid,name,total_population,total_population_25_over,median_income,median_home_value,educational_attainment,white_alone,black_alone,native_alone,asian_alone,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,city,metro_area
34029731204,"Census Tract 7312.04, Ocean County, New Jersey",3483.0,3469.0,40202.0,167400.0,557.0,3338.0,0.0,0.0,29.0,0.0,0.0,0.0,116.0,New York City,New York-Newark-Jersey City
34029731206,"Census Tract 7312.06, Ocean County, New Jersey",2293.0,2250.0,32066.0,141300.0,332.0,2126.0,0.0,0.0,32.0,0.0,33.0,0.0,102.0,New York City,New York-Newark-Jersey City
34029736102,"Census Tract 7361.02, Ocean County, New Jersey",7742.0,5330.0,60440.0,207500.0,1214.0,6976.0,55.0,0.0,76.0,0.0,0.0,201.0,434.0,New York City,New York-Newark-Jersey City
34029731103,"Census Tract 7311.03, Ocean County, New Jersey",4685.0,3159.0,97188.0,275500.0,638.0,4176.0,60.0,0.0,11.0,0.0,0.0,54.0,384.0,New York City,New York-Newark-Jersey City
34029725002,"Census Tract 7250.02, Ocean County, New Jersey",6066.0,3854.0,66554.0,237900.0,820.0,5336.0,28.0,7.0,17.0,0.0,11.0,135.0,539.0,New York City,New York-Newark-Jersey City
34029726000,"Census Tract 7260, Ocean County, New Jersey",1581.0,1188.0,82174.0,400000.0,545.0,1395.0,12.0,3.0,16.0,0.0,0.0,95.0,60.0,New York City,New York-Newark-Jersey City
34029713100,"Census Tract 7131, Ocean County, New Jersey",6059.0,4371.0,85237.0,288700.0,1673.0,5425.0,36.0,0.0,125.0,0.0,0.0,66.0,407.0,New York City,New York-Newark-Jersey City
34029713202,"Census Tract 7132.02, Ocean County, New Jersey",4161.0,2771.0,89450.0,276500.0,949.0,3339.0,47.0,0.0,90.0,0.0,0.0,0.0,685.0,New York City,New York-Newark-Jersey City
34029713500,"Census Tract 7135, Ocean County, New Jersey",3016.0,2350.0,66509.0,296100.0,670.0,2880.0,13.0,0.0,7.0,0.0,0.0,29.0,87.0,New York City,New York-Newark-Jersey City
34029714100,"Census Tract 7141, Ocean County, New Jersey",3494.0,2955.0,48587.0,195100.0,440.0,2893.0,356.0,7.0,0.0,0.0,0.0,33.0,212.0,New York City,New York-Newark-Jersey City
34029714400,"Census Tract 7144, Ocean County, New Jersey",734.0,713.0,80804.0,943000.0,403.0,726.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,New York City,New York-Newark-Jersey City
34029723300,"Census Tract 7233, Ocean County, New Jersey",6824.0,4357.0,82128.0,244900.0,1247.0,5539.0,17.0,0.0,210.0,0.0,0.0,33.0,1025.0,New York City,New York-Newark-Jersey City
34029723400,"Census Tract 7234, Ocean County, New Jersey",3126.0,2352.0,83023.0,371500.0,572.0,2914.0,0.0,0.0,26.0,0.0,0.0,63.0,123.0,New York City,New York-Newark-Jersey City
34029725001,"Census Tract 7250.01, Ocean County, New Jersey",3100.0,2032.0,84167.0,229900.0,481.0,2908.0,31.0,3.0,0.0,0.0,0.0,31.0,127.0,New York City,New York-Newark-Jersey City
34029727002,"Census Tract 7270.02, Ocean County, New Jersey",1168.0,1056.0,79500.0,508700.0,559.0,1108.0,0.0,0.0,23.0,0.0,0.0,0.0,37.0,New York City,New York-Newark-Jersey City
34029731102,"Census Tract 7311.02, Ocean County, New Jersey",6244.0,4323.0,70565.0,252000.0,1037.0,5304.0,80.0,0.0,257.0,0.0,0.0,20.0,583.0,New York City,New York-Newark-Jersey City
34029731203,"Census Tract 7312.03, Ocean County, New Jersey",1776.0,1715.0,37255.0,155700.0,160.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,New York City,New York-Newark-Jersey City
34029732101,"Census Tract 7321.01, Ocean County, New Jersey",6408.0,4654.0,69435.0,254200.0,887.0,6090.0,0.0,0.0,30.0,0.0,9.0,0.0,279.0,New York City,New York-Newark-Jersey City
34029733000,"Census Tract 7330, Ocean County, New Jersey",8838.0,7214.0,67288.0,308200.0,1996.0,8414.0,44.0,49.0,40.0,0.0,0.0,76.0,215.0,New York City,New York-Newark-Jersey City
34029734002,"Census Tract 7340.02, Ocean County, New Jersey",6668.0,4262.0,77756.0,273700.0,1089.0,5427.0,362.0,48.0,0.0,0.0,0.0,105.0,726.0,New York City,New York-Newark-Jersey City
34029712000,"Census Tract 7120, Ocean County, New Jersey",1305.0,1048.0,111375.0,1210400.0,714.0,1187.0,6.0,0.0,20.0,0.0,19.0,28.0,45.0,New York City,New York-Newark-Jersey City
34029731002,"Census Tract 7310.02, Ocean County, New Jersey",4076.0,2911.0,75086.0,275600.0,722.0,3739.0,99.0,0.0,12.0,0.0,0.0,17.0,209.0,New York City,New York-Newark-Jersey City
34029731202,"Census Tract 7312.02, Ocean County, New Jersey",4123.0,4040.0,35946.0,143200.0,480.0,4016.0,31.0,11.0,40.0,0.0,0.0,0.0,25.0,New York City,New York-Newark-Jersey City
34029739000,"Census Tract 7390, Ocean County, New Jersey",2222.0,1905.0,75385.0,647300.0,930.0,2159.0,16.0,0.0,4.0,0.0,0.0,11.0,32.0,New York City,New York-Newark-Jersey City
34029716000,"Census Tract 7160, Ocean County, New Jersey",3526.0,3473.0,43915.0,173100.0,1045.0,3216.0,76.0,0.0,50.0,0.0,0.0,0.0,184.0,New York City,New York-Newark-Jersey City
34029717501,"Census Tract 7175.01, Ocean County, New Jersey",8109.0,5561.0,66641.0,247100.0,1607.0,6361.0,640.0,0.0,199.0,0.0,0.0,224.0,685.0,New York City,New York-Newark-Jersey City
34029720101,"Census Tract 7201.01, Ocean County, New Jersey",6384.0,5269.0,31663.0,65800.0,877.0,5271.0,354.0,0.0,0.0,0.0,0.0,321.0,438.0,New York City,New York-Newark-Jersey City
